Timestamp,gender,age-group,district,city,marital-status,education,employment-status,field of work,income,banking-app-user,frequency,purposes,banking-app,application-interface,Security,Time saving,availability-of-services
2020/10/31 12:53:12 PM GMT+5:30,Male,26 - 35,Colombo,Maharagama,Married,Bachelor's degree or equivalent,Yes,Science and technology,"151,000 - 200,000",Yes,Less than 5 times per week,For online money transfer to family and friends;To pay bills / reloads / standing orders;Loan payments;To check balance and transaction history;To submit online requests to banks;Manage savings accounts;Mange current accounts;Top up mobile credits;Communicate with bank,SOLO – Hatton National Bank,Satisfied,Very Satisfied,Satisfied,Satisfied
2020/10/31 12:57:26 PM GMT+5:30,Male,26 - 35,Colombo,Kesbewa,Single,Bachelor's degree or equivalent,Yes,Science and technology,"Above 200,000",Yes,1 - 5 times per day,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history,Combank Digital – Commercial Bank;Flash - Commercial Bank,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
2020/10/31 1:05:35 PM GMT+5:30,Male,18 - 25,Anuradhapura,,Single,Bachelor's degree or equivalent,Yes,Architecture and engineering,"50,000 - 100,000",Yes,Less than 5 times per week,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;Manage savings accounts;Top up mobile credits,Sampath Bank Mobile App - Sampath Bank;Combank Digital – Commercial Bank;Frimi - Nations Trust Bank,Satisfied,Satisfied,Very Satisfied,Very Satisfied
2020/10/31 1:12:12 PM GMT+5:30,Male,26 - 35,Galle,Imaduwa,Married,Bachelor's degree or equivalent,Yes,Architecture and engineering,"101,000 - 150,000",Yes,Less than 5 times per week,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;Top up mobile credits,BApp – Bank of Ceylon;Sampath Bank Mobile App - Sampath Bank;Frimi - Nations Trust Bank,Neutral,Satisfied,Satisfied,Neutral
2020/10/31 1:27:11 PM GMT+5:30,Male,26 - 35,Kandy,Peradeniya,Single,Bachelor's degree or equivalent,Yes,Architecture and engineering,"101,000 - 150,000",Yes,1 - 10 times per month,To check balance and transaction history,Combank Digital – Commercial Bank,Satisfied,Satisfied,Satisfied,Very Unsatisfied
2020/10/31 1:31:12 PM GMT+5:30,Male,26 - 35,Kandy,Peradeniya,Single,Bachelor's degree or equivalent,Yes,Architecture and engineering,"101,000 - 150,000",Yes,1 - 10 times per month,To check balance and transaction history,Combank Digital – Commercial Bank,Satisfied,Satisfied,Satisfied,Very Unsatisfied
2020/10/31 1:44:20 PM GMT+5:30,Male,18 - 25,Colombo,malabe,Single,Bachelor's degree or equivalent,Yes,Science and technology,"101,000 - 150,000",Yes,1 - 5 times per day,For online money transfer to family and friends;To pay bills / reloads / standing orders;Loan payments;To check balance and transaction history;To submit online requests to banks;Manage savings accounts;Top up mobile credits;Communicate with bank,Combank Digital – Commercial Bank;Nations Mobile Banking – Nations Trust Bank;Frimi - Nations Trust Bank,Satisfied,Very Satisfied,Very Satisfied,Satisfied
2020/10/31 1:54:39 PM GMT+5:30,Male,18 - 25,Colombo,Homagama,Single,Bachelor's degree or equivalent,Yes,Software Engineering,"Above 200,000",Yes,1 - 5 times per day,To pay bills / reloads / standing orders;To check balance and transaction history;Manage fixed deposits,Sampath Bank Mobile App - Sampath Bank,Satisfied,Very Satisfied,Neutral,Satisfied
2020/10/31 2:12:44 PM GMT+5:30,Female,26 - 35,Colombo,Boralesgamuwa,Single,Bachelor's degree or equivalent,Yes,Marketing,"101,000 - 150,000",No,,,,,,,
2020/10/31 2:20:20 PM GMT+5:30,Female,18 - 25,Badulla,Bandarawela ,Single,Bachelor's degree or equivalent,Yes,"Business, management and administration","Less than 50,000",No,,,,,,,
2020/10/31 2:31:28 PM GMT+5:30,Male,18 - 25,Kurunegala,Nikaweratiya,Single,Bachelor's degree or equivalent,Yes,Infomation Technology,"50,000 - 100,000",Yes,Less than 5 times per week,For online money transfer to family and friends;To pay bills / reloads / standing orders;Top up mobile credits,Combank Digital – Commercial Bank,Unsatisfied,Neutral,Unsatisfied,Neutral
2020/10/31 2:36:59 PM GMT+5:30,Male,18 - 25,Colombo,Maradana,Single,Advanced Level  or equivalent,No,Undergraduate,,Yes,1 - 10 times per month,To pay bills / reloads / standing orders,Combank Digital – Commercial Bank,Neutral,Satisfied,Neutral,Unsatisfied
2020/10/31 3:02:11 PM GMT+5:30,Male,18 - 25,Kalutara,Panadura,Single,Bachelor's degree or equivalent,Yes,Science and technology,"50,000 - 100,000",Yes,Less than 5 times per week,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;To submit online requests to banks;Manage savings accounts;Mange current accounts;Top up mobile credits,Combank Digital – Commercial Bank;Flash - Commercial Bank,Satisfied,Neutral,Very Satisfied,Satisfied
2020/10/31 3:19:58 PM GMT+5:30,Male,26 - 35,Colombo,Colombo 05,Married,Bachelor's degree or equivalent,Yes,Science and technology,"Above 200,000",Yes,1 - 10 times per month,For online money transfer to family and friends;To pay bills / reloads / standing orders;Loan payments;To check balance and transaction history,Sampath Bank Mobile App - Sampath Bank;NDB Neos ,Very Satisfied,Satisfied,Very Satisfied,Very Satisfied
2020/10/31 3:21:10 PM GMT+5:30,Male,18 - 25,Colombo,Malabe,Single,Bachelor's degree or equivalent,Yes,Architecture and engineering,"50,000 - 100,000",Yes,1 - 10 times per month,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;Top up mobile credits,BApp – Bank of Ceylon,Satisfied,Satisfied,Satisfied,Satisfied
2020/10/31 3:23:29 PM GMT+5:30,Male,26 - 35,Batticaloa,Kattankudy,Single,Bachelor's degree or equivalent,Yes,Government,"Less than 50,000",Yes,1 - 10 times per month,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history,People’s Wave – People’s Bank,Satisfied,Satisfied,Satisfied,Satisfied
2020/10/31 3:39:15 PM GMT+5:30,Male,18 - 25,Badulla,Bandarawela,Single,Diploma  or equivalent,Yes,Sales,"101,000 - 150,000",Yes,1 - 10 times per month,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;Manage savings accounts,Nations Mobile Banking – Nations Trust Bank,Very Unsatisfied,Very Unsatisfied,Very Unsatisfied,Very Unsatisfied
2020/10/31 3:56:39 PM GMT+5:30,Female,18 - 25,Colombo,Kahathuduwa ,Single,Bachelor's degree or equivalent,Yes,Community and social services,"Less than 50,000",No,,,,,,,
2020/10/31 4:09:57 PM GMT+5:30,Female,18 - 25,Matara,Matara,Single,Bachelor's degree or equivalent,Yes,,,No,,,,,,,
2020/10/31 4:11:09 PM GMT+5:30,Female,18 - 25,Matara,Matara,Single,Bachelor's degree or equivalent,No,,,No,,,,,,,
2020/10/31 4:12:56 PM GMT+5:30,Male,26 - 35,Badulla,Welimada,Single,Bachelor's degree or equivalent,No,,,Yes,Less than 5 times per week,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;Top up mobile credits,Combank Digital – Commercial Bank,Satisfied,Satisfied,Very Satisfied,Satisfied
2020/10/31 4:28:28 PM GMT+5:30,Male,18 - 25,Badulla,Badulla,Single,Diploma  or equivalent,Yes,"Business, management and administration","50,000 - 100,000",Yes,1 - 5 times per day,For online money transfer to family and friends;To pay bills / reloads / standing orders;Loan payments;To check balance and transaction history;To submit online requests to banks;Manage savings accounts;Communicate with bank,Combank Digital – Commercial Bank,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
2020/10/31 4:53:00 PM GMT+5:30,Female,18 - 25,Badulla,Welimada,Single,Diploma  or equivalent,Yes,Banking,"50,000 - 100,000",Yes,1 - 10 times per month,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;Manage fixed deposits;Top up mobile credits,"SOLO – Hatton National Bank;Hatton national bank mobile banking app, Hatton national bank digital banking app",Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
2020/10/31 5:01:27 PM GMT+5:30,Female,26 - 35,Colombo,Kirulapone ,Single,Bachelor's degree or equivalent,Yes,Finance and taxat,"50,000 - 100,000",No,,,,,,,
2020/10/31 5:04:52 PM GMT+5:30,Female,18 - 25,Nuwara Eliya,Nuwara eliya,Single,Advanced Level  or equivalent,Yes,Banking,"50,000 - 100,000",Yes,Less than 5 times per week,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;Manage savings accounts;Manage fixed deposits,SOLO – Hatton National Bank;HNB Digital Banking app,Very Unsatisfied,Very Unsatisfied,Very Unsatisfied,Very Unsatisfied
2020/10/31 5:07:44 PM GMT+5:30,Male,18 - 25,Colombo,Maradana ,Single,Advanced Level  or equivalent,No,,,Yes,1 - 10 times per month,For online money transfer to family and friends;To check balance and transaction history,People’s Wave – People’s Bank;SOLO – Hatton National Bank;Flash - Commercial Bank,Neutral,Neutral,Very Satisfied,Unsatisfied
2020/10/31 5:19:58 PM GMT+5:30,Female,26 - 35,Matale,Matale,Single,Bachelor's degree or equivalent,No,,,No,,,,,,,
2020/10/31 5:34:05 PM GMT+5:30,Female,18 - 25,Colombo,Rathmalana,Single,Bachelor's degree or equivalent,Yes,Architecture and engineering,"Less than 50,000",No,,,,,,,
2020/10/31 5:34:16 PM GMT+5:30,Male,26 - 35,Jaffna,Jaffna,Single,Bachelor's degree or equivalent,No,,"Above 200,000",No,,,,,,,
2020/10/31 5:34:17 PM GMT+5:30,Female,18 - 25,Colombo,Maharagama,Single,Bachelor's degree or equivalent,No,,,Yes,1 - 10 times per month,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history,BApp – Bank of Ceylon;BOC Smart Pay - Bank of Ceylon;Combank Digital – Commercial Bank,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied
